secid,description,founded,headquarters,employees,sector,ceo,link
AQUA,"ПАО «Русская Аквакультура» — ведущий российский производитель товарной лососёвой рыбы (атлантического лосося и форели), работающий в Мурманской области. Компания занимается полным циклом выращивания рыбы — от инкубации икры до переработки и реализации готовой продукции. Основные производственные мощности расположены в Баренцевом море, где используются современные методы аквакультуры. «Русская Аквакультура» входит в тройку крупнейших игроков рынка с долей около 20% в производстве лососёвых в России. Компания активно инвестирует в расширение мощностей, внедряет экологичные технологии выращивания и развивает линейку переработанной продукции (слабосолёная рыба, стейки). Основные рынки сбыта — внутренний рынок (70% продукции) и экспорт в страны СНГ. В 2023 году компания начала реализацию проекта по строительству нового рыбоперерабатывающего завода в Мурманской области.",1997,"Мурманск, Россия",500+,Аквакультура и рыбопереработка,Илья Соснов,https://rusaquaculture.ru
ARSA,"ПАО «Арсагера» — российская управляющая компания, специализирующаяся на доверительном управлении активами и инвестиционных фондах. Компания предлагает услуги по управлению индивидуальными инвестиционными портфелями, пенсионными накоплениями и коллективными инвестициями через собственные паевые инвестиционные фонды (ПИФы). «Арсагера» придерживается стратегии стоимостного инвестирования, фокусируясь на недооцененных активах с высоким потенциалом роста. Компания известна своими аналитическими исследованиями российского рынка акций и регулярными инвестиционными рекомендациями. В управлении находится более 15 млрд рублей активов частных и корпоративных клиентов. «Арсагера» активно развивает образовательные проекты в области инвестиций и финансовой грамотности.",2004,"Санкт-Петербурге, Россия",50+,Финансовые услуги (управление активами),Василий Соловьев,https://www.arsagera.ru
ASSB,"ПАО «Астраханская энергосбытовая компания» (АЭСК) — крупнейший гарантирующий поставщик электроэнергии в Астраханской области, обеспечивающий энергоснабжение более 500 тысяч потребителей, включая население, предприятия и организации региона. Компания осуществляет полный комплекс услуг по реализации электрической энергии, включая расчеты, техническое обслуживание сетей и энергоконсалтинг. Входит в структуру ПАО «Россети» — крупнейшей электросетевой компании России. АЭСК активно внедряет интеллектуальные системы учета электроэнергии (АИИС КУЭ), развивает программы энергосбережения и цифровизации услуг. Особое внимание уделяется социальным программам и поддержке льготных категорий потребителей. В 2023 году компания начала масштабную модернизацию инфраструктуры с учетом роста энергопотребления в регионе.",2005,"Астрахань, Россия",1 200+,Энергетика (энергосбыт),Вадим Сидоркин,https://www.astraesc.ru
ASTR,"ПАО «Астра» — российская технологическая компания, специализирующаяся на разработке и производстве телекоммуникационного оборудования и решений для цифровой трансформации бизнеса. Компания является ведущим отечественным производителем серверного оборудования, систем хранения данных и телекоммуникационных решений, активно участвуя в программе импортозамещения ИТ-инфраструктуры. Основные продукты включают: серверы на российских процессорах (Эльбрус, Байкал), системы облачного хранения, оборудование для ЦОД и сетевые решения. Компания сотрудничает с крупнейшими российскими корпорациями в банковском секторе, нефтегазовой отрасли и государственными структурами. В 2022-2023 годах «Астра» значительно расширила линейку продукции, представив первые российские гиперконвергентные системы и решения для edge-вычислений. Компания обладает полным циклом производства - от разработки до сборки на собственных мощностях в Москве и Зеленограде.",2021,"Москва, Россия",800+,Информационные технологии (телекоммуникационное оборудование),Илья Сивцев,https://www.astra.ru
AVAN,"ПАО «Авангард» — российский универсальный коммерческий банк, входящий в топ-40 крупнейших банков страны по размеру активов. Банк предоставляет полный спектр финансовых услуг для частных и корпоративных клиентов, включая розничное кредитование (ипотека, автокредиты, кредитные карты), обслуживание бизнеса, инвестиционные продукты и дистанционные банковские сервисы. Особое внимание уделяется развитию цифровых каналов обслуживания - мобильное приложение банка входит в топ-10 по популярности среди российских финтех-решений. «Авангард» активно развивает партнерские программы с крупными ритейлерами и автодилерами, предлагая специальные условия кредитования. В 2023 году банк запустил собственную экосистему финансовых услуг, включающую страховые и инвестиционные продукты. География присутствия - более 200 отделений в 60 регионах России.",1994,"Москва, Россия",8 000+,Банковский сектор,Валерий Торхов,https://www.avangard.ru
BANE,"ПАО «Башнефть» — одна из крупнейших вертикально интегрированных нефтяных компаний России, специализирующаяся на разведке, добыче, переработке и сбыте нефти и нефтепродуктов. Компания ведет добычу в основных нефтеносных регионах России (Башкортостан, Ханты-Мансийский АО, Ненецкий АО) с доказанными запасами углеводородов более 2 млрд баррелей нефтяного эквивалента. В структуру компании входят три крупных нефтеперерабатывающих завода в Уфе общей мощностью более 25 млн тонн нефти в год, выпускающие широкий ассортимент нефтепродуктов (бензины, дизельное топливо, авиакеросин, битумы). «Башнефть» активно развивает нефтехимическое направление (производство полипропилена, ПЭТФ) и цифровизацию производственных процессов. Компания входит в структуру ПАО «НК «Роснефть» и играет ключевую роль в обеспечении топливом регионов Поволжья и Урала.",1946,"Уфа, Республика Башкортостан, Россия",50 000+,Нефтегазовый сектор,Касимиро Дидье,https://www.bashneft.ru
BANEP,"ПАО «Башнефть» (привилегированные акции) — одна из ведущих вертикально интегрированных нефтяных компаний России, входящая в структуру ПАО «НК «Роснефть». Компания осуществляет полный цикл операций: от разведки и добычи нефти (запасы 2.2 млрд баррелей нефтяного эквивалента) до переработки (три НПЗ в Уфе общей мощностью 25 млн тонн в год) и сбыта нефтепродуктов через собственную сеть АЗС. Основные месторождения расположены в Башкортостане, ХМАО и Ненецком АО. «Башнефть» — ключевой поставщик авиакеросина для российских аэропортов и производитель высокооктановых бензинов. Компания активно развивает нефтехимическое направление (производство полипропилена) и цифровые технологии в геологоразведке. Привилегированные акции (BANEP) отличаются фиксированным дивидендом (50% от чистой прибыли по МСФО), что делает их привлекательными для инвесторов, ориентированных на доход.",1946,"Уфа, Республика Башкортостан, Россия",50 000+,Нефтегазовый сектор,Касимиро Дидье ,https://www.bashneft.ru
BELU,"ПАО «Белуга» — российская группа компаний, специализирующаяся на производстве и дистрибуции премиальных алкогольных напитков, в первую очередь водки. Компания владеет одним из крупнейших в России ликёро-водочных заводов в Московской области, выпускающим продукцию под брендами «Beluga», «Арктик» и «Ямал». «Белуга» занимает лидирующие позиции в сегменте премиальной водки, экспортируя продукцию в более чем 80 стран мира. Компания инвестирует в инновационные технологии очистки и фильтрации, использует уникальные рецептуры и природную воду из артезианских источников. В портфель также входят линейки коньяков и игристых вин. «Белуга» активно развивает экологичные производства и социальные программы, поддерживая российский спорт и культуру.",1999,"Москва, Россия",1 200+,Производство алкогольной продукции,Нильс Столберг,https://belugavodka.com
BISVP,"ПАО «Башинформсвязь» — ведущий оператор связи в Республике Башкортостан, предоставляющий комплекс телекоммуникационных услуг, включая фиксированную и мобильную связь, широкополосный доступ в интернет, кабельное телевидение и облачные сервисы. Компания входит в группу «Ростелеком» и является ключевым участником цифровизации региона. Основные направления деятельности включают развитие волоконно-оптических сетей, внедрение технологии GPON, модернизацию телекоммуникационной инфраструктуры и реализацию проектов «умного города». «Башинформсвязь» обслуживает более 1,5 млн абонентов и активно участвует в государственных программах по ликвидации цифрового неравенства.",1992,"Уфа, Республика Башкортостан, Россия",3 500+,Телекоммуникации,Сергей Нищев,https://www.bashinformsvyaz.ru
BLNG,"ОАО «Белон» (ранее «Белонги») — российская угледобывающая компания, специализирующаяся на добыче и обогащении коксующегося угля, который является ключевым сырьём для металлургической промышленности. Компания ведёт добычу в Кузбассе, одном из крупнейших угольных бассейнов мира. «Белон» входит в число ведущих поставщиков коксующегося угля для российских и международных металлургических предприятий, включая компании Европы и Азии. Помимо добычи, компания активно развивает логистическую инфраструктуру, включая железнодорожные перевозки и портовые мощности, что позволяет эффективно экспортировать уголь. «Белон» также уделяет внимание экологическим аспектам производства, внедряя современные технологии для снижения воздействия на окружающую среду.",2002,"Новокузнецк, Россия",5 000+,Угледобывающая промышленность,Владимир Харченко,https://www.belon.ru
BRZL,"ПАО «Бурятзолото» — российская золотодобывающая компания, входящая в состав крупнейшего в стране холдинга по добыче драгоценных металлов «Полюс». Основная деятельность компании сосредоточена на разработке месторождений золота в Республике Бурятия, включая такие ключевые активы, как Зун-Холбинское и Ирокиндинское месторождения. Компания применяет современные технологии добычи, включая кучное выщелачивание, что позволяет эффективно разрабатывать даже бедные руды. «Бурятзолото» играет значительную роль в экономике региона, обеспечивая рабочие места и налоговые поступления. В последние годы компания активно наращивает объёмы производства, внедряет экологические стандарты и участвует в социальных программах развития Дальнего Востока.",1991,"Улан-Удэ, Россия",3 500+,Добыча драгоценных металлов,Денис Рыжкин,https://www.buryatzoloto.ru
BSPB,"ПАО «Банк Санкт-Петербург» — один из крупнейших региональных банков России, входящий в топ-30 банков страны по размеру активов. Банк предоставляет полный спектр финансовых услуг, включая корпоративное и розничное кредитование, расчетно-кассовое обслуживание, инвестиционные продукты и услуги private banking. Основной регион присутствия — Северо-Западный федеральный округ, где банк занимает лидирующие позиции. Особое внимание банк уделяет развитию цифровых технологий, предлагая клиентам современные онлайн-банкинг решения. Банк Санкт-Петербурга известен своей консервативной кредитной политикой и стабильным развитием даже в периоды экономической нестабильности. В последние годы банк активно развивает направление МСБ и ипотечного кредитования.",1990,"Санкт-Петербург, Россия",4 500+,Банковский сектор,Александр Савельев,https://www.bspb.ru
BSPBP,"ПАО «Банк Санкт-Петербург» (привилегированные акции) - это одна из двух категорий акций крупного регионального банка России, специализирующегося на комплексном банковском обслуживании корпоративных и частных клиентов. Банк занимает устойчивые позиции в Северо-Западном регионе России, входя в ТОП-30 российских банков по размеру активов. Основные направления деятельности включают корпоративное кредитование (особенно предприятий Северо-Запада), розничные банковские продукты, ипотечное кредитование и услуги для малого и среднего бизнеса. Банк отличается консервативной кредитной политикой, что обеспечивает его стабильность даже в периоды экономических кризисов. В последние годы активно развивает цифровые технологии, включая мобильный банкинг и онлайн-сервисы. Привилегированные акции (BSPBP) дают акционерам приоритет в получении дивидендов, но не предоставляют права голоса на собраниях акционеров.",1990,"Санкт-Петербург, Россия","4,500+",Банковский сектор,Александр Савельев,https://www.bspb.ru
CARM,"ПАО «КарМани» — российская многопрофильная финансовая группа, специализирующаяся на потребительском кредитовании, микрозаймах и финансовых технологиях. Компания занимает значительную долю рынка онлайн-кредитования в России, предлагая мгновенные решения через мобильные приложения и веб-платформы. Основные направления деятельности включают: экспресс-кредитование физических лиц, POS-кредитование в торговых сетях, разработку скоринговых систем на основе искусственного интеллекта и big data. Компания активно внедряет инновационные технологии в области финтеха, включая автоматизированные системы принятия решений и цифровые платформы для кредитного скоринга. «КарМани» имеет разветвленную сеть партнеров среди розничных сетей и интернет-магазинов, что позволяет ей занимать лидирующие позиции в сегменте impulse-кредитования. В последние годы компания расширяет свое присутствие в сегменте SME-кредитования и развивает продукты для рефинансирования существующих займов.",2011,"Москва, Россия","2,500+",Финансовые услуги/Финтех,Анна Калугина,https://www.carmani.ru
CBOM,"ПАО «МКБ» (Московский Кредитный Банк) — один из крупнейших частных банков России, входящий в топ-10 банков страны по размеру активов. Банк предоставляет полный спектр финансовых услуг для корпоративных и частных клиентов, включая розничное и корпоративное кредитование, инвестиционные продукты, расчетно-кассовое обслуживание и услуги private banking. Особое внимание банк уделяет развитию цифровых технологий, являясь пионером в области онлайн-кредитования и мобильного банкинга в России. МКБ активно развивает направление МСБ, предлагая специализированные продукты для малого и среднего бизнеса. Банк известен своими инновационными решениями в области финтеха, включая разработку собственной платформы для дистанционного банковского обслуживания. В последние годы МКБ значительно расширил свое присутствие в регионах России, а также развивает международное направление бизнеса.",1992,"Москва, Россия","15,000+",Банковский сектор,Николай Каторжнов,https://www.mkb.ru
CHGZ,"ПАО «РН-Западная Сибирь» (дочернее предприятие НК «Роснефть») — крупнейший нефтедобывающий актив России, разрабатывающий месторождения Ханты-Мансийского автономного округа. Компания обеспечивает около 30% всей нефтедобычи «Роснефти» и 10% общероссийской добычи углеводородов. Основные производственные активы включают Самотлорское (крупнейшее в России), Приобское, Фёдоровское и Мамонтовское месторождения. Предприятие применяет передовые технологии: горизонтальное бурение, многостадийный ГРП, интеллектуальные системы контроля добычи. В 2023 году компания ввела в эксплуатацию Южно-Приобский газоперерабатывающий завод мощностью 2,5 млрд м³ газа в год. Особое внимание уделяется экологическим программам: рекультивация исторического наследия, «зелёное» бурение, нулевое сжигание ПНГ. Компания активно развивает цифровизацию: внедрена система «Цифровое месторождение» с элементами ИИ для оптимизации добычи.",1994,"Ханты-Мансийск, Россия","25,000+",Нефтегазодобыча,Наталья Буй,https://www.rosneft-zapsib.ru
CHKZ,"ПАО «Челябинский кузнечно-прессовый завод» (ЧКПЗ) — ведущее российское предприятие по производству штамповок и поковок для автомобильной, аэрокосмической и оборонной промышленности. Завод входит в состав Группы ЧТПЗ и является стратегическим производителем комплектующих для отечественного машиностроения. Основная продукция: кривошипные валы для автомобилей КамАЗ и ГАЗ, детали шасси для самолётов Sukhoi Superjet и МС-21, поковки для энергетического оборудования. В 2022 году завод освоил производство 120 новых наименований продукции в рамках импортозамещения. Предприятие обладает уникальным прессовым оборудованием усилием до 12,5 тыс. тонн и современной металлообрабатывающей базой. ЧКПЗ сертифицирован по стандартам ISO 9001, IATF 16949 и AS/EN 9100, что позволяет поставлять продукцию для авиастроительных корпораций Boeing и Airbus. В 2023 году запущен новый цех точного литья с годовым объёмом производства 5 тыс. тонн отливок.",1942,"Челябинск, Россия","3,800+","Машиностроение, Металлообработка",Андрей Гартунг,https://www.ckpz.ru
